categorie,moeilijkheid,vraag,optie_a,optie_b,optie_c,optie_d,correcte_optie
Taalvaardigheid,1,Wat is het voltooid deelwoord van 'lopen'?,gelopen,loopte,gelopenen,gelopen,D
Rekenen,3,Wat is 10% van 450?,45,40,50,55,A
Logisch redeneren,2,"Voltooi de reeks: 1, 4, 9, 16, ?",25,20,36,24,A
Algemene kennis,3,In welk land ligt de stad Kyoto?,China,Thailand,Japan,Zuid-Korea,C
Taalvaardigheid,3,Wat is de juiste spelling?,verassing,verrassing,verrasing,verrasing,B
Rekenen,3,Wat is 10% van 450?,45,40,50,55,A
Taalvaardigheid,3,Wat is de juiste spelling?,verassing,verrassing,verrasing,verrasing,B
Algemene kennis,2,Wat is het symbool voor goud?,Ag,Au,Pb,Fe,B
Rekenen,2,Hoeveel is 3/4 van 100?,75,80,70,85,A
Rekenen,1,Wat is de uitkomst van 8 x 7?,56,64,49,58,A
Taalvaardigheid,2,Kies de correcte zin:,Ik heb hun gezien,Me moeder is thuis,Zij gaf mij het boek,Hun zijn aardig,C
Logisch redeneren,3,Als het regent zijn de straten nat. Het regent. Wat volgt?,De straten zijn nat,Het is droog,Het sneeuwt,De zon schijnt,A
Algemene kennis,2,Wat is het symbool voor goud?,Ag,Au,Pb,Fe,B
Algemene kennis,1,Wie is de auteur van 'Harry Potter'?,Tolkien,Rowling,Lewis,King,B
Algemene kennis,3,In welk land ligt de stad Kyoto?,China,Thailand,Japan,Zuid-Korea,C
Logisch redeneren,1,"Voltooi de reeks: 1, 4, 9, 16, ?",25,20,36,24,A
Rekenen,3,Wat is 10% van 450?,45,40,50,55,A
Logisch redeneren,2,"Als alle A B zijn en geen B is C, wat volgt dan?",A is C,Sommige A zijn C,Geen A is C,Alle C zijn A,C
Logisch redeneren,3,"Als alle A B zijn en geen B is C, wat volgt dan?",A is C,Sommige A zijn C,Geen A is C,Alle C zijn A,C
Taalvaardigheid,3,Wat is het voltooid deelwoord van 'lopen'?,gelopen,loopte,gelopenen,gelopen,D
Algemene kennis,3,Wie is de auteur van 'Harry Potter'?,Tolkien,Rowling,Lewis,King,B
Rekenen,2,Hoeveel is 3/4 van 100?,75,80,70,85,A
Taalvaardigheid,1,Wat is het voltooid deelwoord van 'lopen'?,gelopen,loopte,gelopenen,gelopen,D
Rekenen,3,Wat is de uitkomst van 8 x 7?,56,64,49,58,A
Logisch redeneren,1,"Als alle A B zijn en geen B is C, wat volgt dan?",A is C,Sommige A zijn C,Geen A is C,Alle C zijn A,C
Taalvaardigheid,3,Wat is het voltooid deelwoord van 'lopen'?,gelopen,loopte,gelopenen,gelopen,D
Algemene kennis,2,Wat is het symbool voor goud?,Ag,Au,Pb,Fe,B
Algemene kennis,3,In welk land ligt de stad Kyoto?,China,Thailand,Japan,Zuid-Korea,C
Rekenen,2,Wat is 10% van 450?,45,40,50,55,A
Logisch redeneren,1,"Voltooi de reeks: 1, 4, 9, 16, ?",25,20,36,24,A
Taalvaardigheid,2,Wat is de juiste spelling?,verassing,verrassing,verrasing,verrasing,B
Logisch redeneren,3,Als het regent zijn de straten nat. Het regent. Wat volgt?,De straten zijn nat,Het is droog,Het sneeuwt,De zon schijnt,A
